127.0.0.1 - - [24/Mar/2025:09:49:50 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:49:57 +0900] "GET /project_mvc1_milk/milk2.jsp HTTP/1.1" 200 6386
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:50:09 +0900] "POST /project_mvc1_milk/milk_insert.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:50:10 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:50:17 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:52:41 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:52:45 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:52:45 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:52:47 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [24/Mar/2025:09:52:50 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:00:24 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:00:28 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:01:52 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:13 +0900] "POST /project_mvc1_milk/milk_update.jsp HTTP/1.1" 200 92
